"타임스탬프","학부모의 연령대","학부모의 학력","학부모의 직업","자녀의 학년","자녀의 학교 활동에 얼마나 참여하시나요?


예: 학교 행사 참석, 학부모 모임 및 회의 참여 등","자녀의 교사와 얼마나 자주 소통하시나요?","나는 자녀의 학습에 대해 충분히 도와줄 수 있다고 생각한다.","나는 자녀의 학습 문제를 해결할 수 있는 능력이 있다고 생각한다.","나는 자녀의 학습 동기를 높일 수 있다고 믿는다","자녀는 학교생활에 얼마나 만족하고 있나요?","자녀의 학업 성취도는 어느 정도라고 생각하나요?","자녀의 학업을 위해 어떤 방식으로 지원하고 계시나요? (복수 선택 가능)","자녀의 학습 환경을 조성하기 위해 어떤 노력을 하고 계시나요? (복수 선택 가능)","자녀가 학업에 대해 얼마나 긍정적인 태도를 갖고 있나요?","자녀의 학업 성취도에 가장 큰 영향을 미치는 요인은 무엇이라고 생각하나요? (자유 응답)


예: 교사의 역량, 자녀의 학습 태도 등","학부모로서 자녀의 학업 지원에 있어 가장 큰 어려움은 무엇이라고 생각하나요? (자유 응답)


예: 경제적 문제, 시간 등"
"6/8/2024 18:54:41","40대","고졸 이하","주부","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","그렇지 않다","보통이다","높다","학원 등록, 개인 과의","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","보통이다","",""
"6/8/2024 18:54:59","40대","고졸 이하","주부","중학교 (7~9학년)","보통이다","가끔 소통한다","그렇다","보통이다","그렇다","약간 만족한다","낮다","","","","",""
"6/8/2024 18:57:06","40대","고졸 이하","주부","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","그렇다","보통이다","매우 그렇다","약간 만족하지 않는다","높다","학원 등록, 개인 과의","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","보통이다","",""
"6/8/2024 18:57:30","40대","고졸 이하","주부","중학교 (7~9학년)","자주 참여한다","항상 소통한다","그렇지 않다","그렇지 않다","그렇다","약간 만족하지 않는다","낮다","온라인 교육 프로그램, 자녀와 함께 학습 시간 갖기","규칙적인 학습 시간 제공","보통이다","",""
"6/8/2024 18:57:50","40대","고졸 이하","직장인","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","그렇지 않다","그렇지 않다","그렇다","약간 만족한다","높다","학원 등록, 개인 과의","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","약간 긍정적이다","",""
"6/8/2024 20:17:43","40대","고졸 이하","주부","중학교 (7~9학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","그렇지 않다","약간 만족한다","보통이다","학원 등록, 개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","",""
"6/8/2024 20:18:12","50대 이상","고졸 이하","자영업","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","보통이다","보통이다","높다","학원 등록","학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","약간 긍정적이다","",""
"6/8/2024 20:18:35","50대 이상","대졸","주부","고등학교 (10~12학년)","항상 참여한다","항상 소통한다","그렇다","그렇다","그렇다","약간 만족한다","보통이다","학원 등록, 개인 과의, 학습 자료 제공(책, 문제집 등)","학습 도구 제공(컴퓨터, 아이패드)","약간 부정적이다","",""
"6/8/2024 20:18:59","50대 이상","고졸 이하","주부","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","그렇지 않다","보통이다","그렇지 않다","보통이다","높다","학원 등록","학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","",""
"6/8/2024 20:19:51","50대 이상","고졸 이하","주부","고등학교 (10~12학년)","자주 참여한다","보통이다","보통이다","그렇다","매우 그렇다","보통이다","높다","학원 등록","","매우 부정적이다","",""
"6/8/2024 20:20:25","50대 이상","고졸 이하","직장인","고등학교 (10~12학년)","가끔 참여한다","항상 소통한다","보통이다","보통이다","그렇다","약간 만족한다","높다","","","매우 긍정적이다","",""
"6/8/2024 20:21:12","50대 이상","고졸 이하","직장인","고등학교 (10~12학년)","자주 참여한다","항상 소통한다","보통이다","그렇다","그렇지 않다","전혀 만족하지 않는다","높다","학원 등록, 개인 과의, 온라인 교육 프로그램, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 규칙적인 학습 시간 제공","약간 부정적이다","",""
"6/8/2024 20:26:04","50대 이상","대졸","직장인","고등학교 (10~12학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","보통이다","약간 만족한다","보통이다","개인 과의, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","보통이다","학습 태도","시간"
"6/8/2024 20:27:36","50대 이상","대학원 졸","자영업","중학교 (7~9학년)","항상 참여한다","항상 소통한다","매우 그렇다","매우 그렇다","매우 그렇다","매우 만족한다","매우 높다","학원 등록, 개인 과의","조용한 학습 공간 마련, 자녀의 학습 습관 점검","약간 긍정적이다","자녀의 의지","이해관계"
"6/8/2024 20:28:20","40대","대졸","주부","초등학교 고학년 (4~6학년)","항상 참여한다","","보통이다","그렇다","보통이다","약간 만족한다","낮다","개인 과의","조용한 학습 공간 마련","매우 긍정적이다","시간","마음가짐"
"6/8/2024 20:31:12","50대 이상","대졸","직장인","고등학교 (10~12학년)","항상 참여한다","","그렇다","매우 그렇다","그렇다","매우 만족한다","높다","학원 등록, 자녀와 함께 학습 시간 갖기, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 규칙적인 학습 시간 제공","매우 긍정적이다","스스로의 의지","없음"
"6/8/2024 20:34:04","50대 이상","대학원 졸","자영업","고등학교 (10~12학년)","항상 참여한다","항상 소통한다","매우 그렇다","보통이다","보통이다","매우 만족한다","매우 높다","학원 등록, 개인 과의, 학습 자료 제공(책, 문제집 등)","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드)","약간 긍정적이다","학습 태도","시간"
"6/8/2024 20:36:39","40대","대졸","주부","중학교 (7~9학년)","자주 참여한다","자주 소통한다","보통이다","그렇다","보통이다","약간 만족한다","높다","학원 등록","조용한 학습 공간 마련","보통이다","주변 환경","경제적 문제"
"6/8/2024 20:38:36","50대 이상","대학원 졸","직장인","고등학교 (10~12학년)","항상 참여한다","항상 소통한다","그렇다","매우 그렇다","그렇다","매우 만족한다","높다","학원 등록, 개인 과의","조용한 학습 공간 마련, 학습 도구 제공(컴퓨터, 아이패드), 자녀의 학습 습관 점검","약간 긍정적이다","주변 사람","없음"
